시도명,시군구명,지반침하지역상세정보,위도,경도,발생일자,발생규모폭,발생규모연장,발생규모깊이,발생지역지질종류명,최초발생원인,피해사망자수,피해부상자수,피해차량대수,복구상태명,복구방법,복구비용,복구완료일자,데이터기준일자,주소,location,lat,lon
경기도,부천시,349-3,0.0,0.0,20180903,3.0,5.0,0.5,,하수관 노후,0,0,0,복구완료,하수관 보수 후 포장 복구 완료,0,2018-09-03,2019-11-20,경기도 부천시 349-3,"부천시, 경기도, 대한민국",37.5014422,126.7660139
경기도,부천시,399-11,0.0,0.0,20180912,4.0,10.0,0.5,,하수관 노후,0,0,0,복구완료,하수관 보수 후 포장 복구 완료,0,2018-09-12,2019-11-20,경기도 부천시 399-11,"부천시, 경기도, 대한민국",37.5014422,126.7660139
경기도,부천시,426-4,0.0,0.0,20180912,1.0,1.0,0.5,,하수관 노후,0,0,0,복구완료,하수관 보수 후 포장 복구 완료,0,2018-09-13,2019-11-20,경기도 부천시 426-4,"부천시, 경기도, 대한민국",37.5014422,126.7660139
경기도,부천시,경인옛로 111,0.0,0.0,20190213,2.0,0.7,0.03,,굴착공사 시 다짐부족,0,0,0,복구완료,되메우기 후 포장복구 완료,0,2019-02-13,2019-11-20,경기도 부천시 경인옛로 111,"경인옛로, 소사본동, 소사구, 부천시, 경기도, 14694, 대한민국",37.4804945,126.7969598
경기도,부천시,심중로 55,0.0,0.0,20190410,2.5,98.0,0.7,,상수도 공사시 다짐이 충분하지 않았던 것으로 판단,0,0,0,복구완료,유실 구간 골재 채움 및 다짐공사 실시,0,2019-04-12,2019-11-20,경기도 부천시 심중로 55,"심중로, 심곡동, 원미구, 부천시, 경기도, 14627, 대한민국",37.485961,126.7737244
경기도,부천시,중동 859-5,37.4866,126.769,20200820,3.0,2.2,1.0,,폐하수관 미처리에 따른 지반 침하 발생,0,0,0,복구완료,굴착복구 공사 진행,0,2020-08-21,0001-01-01,경기도 부천시 중동 859-5,"중동, 원미구, 부천시, 경기도, 14584, 대한민국",37.4991027,126.7676559
경기도,부천시,93-58,37.4808,126.792,20220831,2.0,2.0,1.5,,맨홀 하부 다짐불량으로 인한 지반 함몰 발생,0,1,0,복구완료,맨홀 보수 및 되메우기 완료,0,2022-09-06,0001-01-01,경기도 부천시 93-58,"부천시, 경기도, 대한민국",37.5014422,126.7660139
경기도,부천시,1033-5,37.5048,126.765,20230508,2.0,5.0,1.5,,우천으로 인한 보도 침하 발생 추정,0,0,0,복구완료,유실 부분 흙채움 및 보도 복구,0,2023-05-09,0001-01-01,경기도 부천시 1033-5,"부천시, 경기도, 대한민국",37.5014422,126.7660139
경기도,성남시 분당구,726-1,37.4005,127.113,20221224,6.0,5.0,1.6,충척층,"광역상수도관로(D2,600) 관체 균열로 인한 누수 발생",0,0,0,복구완료,관로 누수복구(가시설설치) 및 굴착부분 되메우기(가시설철거),0,2023-01-16,0001-01-01,경기도 성남시 분당구 726-1,"분당구, 성남시, 경기도, 대한민국",37.3825999,127.1188
경기도,성남시 분당구,376-11,37.3525,127.102,20220809,3.0,3.0,1.5,기타,하수관 파손으로 인한 토사 유출로 지반침하 발생,0,8,1,복구완료,"골재, 시멘트, 록하드 채움 후 다짐, 포장 등",5000000,2022-08-12,0001-01-01,경기도 성남시 분당구 376-11,"분당구, 성남시, 경기도, 대한민국",37.3825999,127.1188
